state,county,avg_price,total_price,total_transactions
New York,Suffolk County,1469954.9761813781,11540616518.0,7851.0
New York,New York County,2879626.557927718,39519994881.0,13724.0
New York,Richmond County,771927.506864564,2080344631.0,2695.0
New York,Bronx County,1093815.547984645,2279511602.0,2084.0
New York,Westchester County,939094.4063694268,2211567327.0,2355.0
New York,Putnam County,633915.338888889,228209522.0,360.0
New York,Rockland County,766296.4795698925,356327863.0,465.0
New York,Orange County,542027.2343485617,640676191.0,1182.0
New York,Nassau County,1035609.2099310833,5860512519.0,5659.0
New York,Queens County,800172.8982436261,7061525827.0,8825.0
New York,Kings County,1306228.6051367717,12511057580.0,9579.0
New York,Albany County,290471.8718496369,679994652.0,2341.0
New York,Schenectady County,252664.0687376074,382280736.0,1513.0
New York,Montgomery County,190740.78904665314,94035209.0,493.0
New York,Greene County,440523.19730941707,392946692.0,892.0
New York,Columbia County,589488.4951048951,421484274.0,715.0
New York,Rensselaer County,261477.22664835164,380710842.0,1456.0
New York,Saratoga County,446804.0243553009,935607627.0,2094.0
New York,Fulton County,172878.66817155757,76585250.0,443.0
New York,Schoharie County,194093.85167464116,81131230.0,418.0
New York,Otsego County,232607.87859007833,178177635.0,766.0
New York,Hamilton County,300373.8255033557,44755700.0,149.0
New York,Delaware County,266812.50070521864,189170063.0,709.0
New York,Ulster County,484125.35926133185,865132017.0,1787.0
New York,Dutchess County,539123.2320805889,1391477062.0,2581.0
New York,Sullivan County,324271.916496945,318435022.0,982.0
New York,Warren County,386649.3764861295,292693578.0,757.0
New York,Washington County,207369.240063593,130435252.0,629.0
New York,Essex County,388478.2921535893,232698497.0,599.0
New York,Clinton County,178359.61958568738,94708958.0,531.0
New York,Franklin County,260445.8581235698,113814840.0,437.0
New York,St. Lawrence County,134147.19457013573,118586120.0,884.0
New York,Onondaga County,226960.8846539619,678840006.0,2991.0
New York,Cayuga County,184483.30484988453,79881271.0,433.0
New York,Oswego County,150264.10985277462,132683209.0,883.0
New York,Madison County,216902.7250922509,117561277.0,542.0
New York,Cortland County,183451.43373493975,60905876.0,332.0
